TODO,LOC,TODO/LOC,FILE
52,911,5.71%,Userland/Libraries/LibWeb/Layout/GridFormattingContext.cpp
5,437,1.14%,Userland/Libraries/LibWeb/Layout/TreeBuilder.cpp
19,926,2.05%,Userland/Libraries/LibWeb/Layout/FormattingContext.cpp
1,36,2.78%,Userland/Libraries/LibWeb/Layout/LayoutPosition.cpp
2,268,0.75%,Userland/Libraries/LibWeb/Layout/InlineFormattingContext.cpp
5,552,0.91%,Userland/Libraries/LibWeb/Layout/Node.cpp
1,43,2.33%,Userland/Libraries/LibWeb/Layout/Box.cpp
4,247,1.62%,Userland/Libraries/LibWeb/Layout/LineBuilder.cpp
1,83,1.20%,Userland/Libraries/LibWeb/Layout/ImageBox.cpp
1,76,1.32%,Userland/Libraries/LibWeb/Layout/SVGSVGBox.cpp
34,785,4.33%,Userland/Libraries/LibWeb/DOM/Element.cpp
2,144,1.39%,Userland/Libraries/LibWeb/DOM/ParentNode.cpp
1,76,1.32%,Userland/Libraries/LibWeb/DOM/Range.h
1,34,2.94%,Userland/Libraries/LibWeb/DOM/HTMLCollection.h
2,116,1.72%,Userland/Libraries/LibWeb/DOM/MutationObserver.cpp
6,230,2.61%,Userland/Libraries/LibWeb/DOM/EventDispatcher.cpp
75,1561,4.80%,Userland/Libraries/LibWeb/DOM/Document.cpp
1,79,1.27%,Userland/Libraries/LibWeb/DOM/CharacterData.cpp
1,128,0.78%,Userland/Libraries/LibWeb/DOM/Event.h
1,173,0.58%,Userland/Libraries/LibWeb/DOM/DOMTokenList.cpp
1,31,3.23%,Userland/Libraries/LibWeb/DOM/AbortSignal.h
24,986,2.43%,Userland/Libraries/LibWeb/DOM/Node.cpp
1,26,3.85%,Userland/Libraries/LibWeb/DOM/LiveNodeList.h
2,85,2.35%,Userland/Libraries/LibWeb/DOM/DOMImplementation.cpp
1,525,0.19%,Userland/Libraries/LibWeb/DOM/Node.h
2,59,3.39%,Userland/Libraries/LibWeb/DOM/Attr.cpp
2,192,1.04%,Userland/Libraries/LibWeb/DOM/NamedNodeMap.cpp
14,394,3.55%,Userland/Libraries/LibWeb/DOM/EventTarget.cpp
8,269,2.97%,Userland/Libraries/LibWeb/DOM/ElementFactory.cpp
2,38,5.26%,Userland/Libraries/LibWeb/HighResolutionTime/TimeOrigin.cpp
35,203,17.24%,Userland/Libraries/LibWeb/HTML/EventLoop/EventLoop.cpp
3,71,4.23%,Userland/Libraries/LibWeb/HTML/Scripting/WindowEnvironmentSettingsObject.cpp
3,45,6.67%,Userland/Libraries/LibWeb/HTML/Scripting/WorkerEnvironmentSettingsObject.h
10,265,3.77%,Userland/Libraries/LibWeb/HTML/Scripting/Environments.cpp
1,89,1.12%,Userland/Libraries/LibWeb/HTML/Scripting/Environments.h
19,259,7.34%,Userland/Libraries/LibWeb/HTML/Scripting/Fetching.cpp
5,80,6.25%,Userland/Libraries/LibWeb/HTML/Scripting/ClassicScript.cpp
9,83,10.84%,Userland/Libraries/LibWeb/HTML/Scripting/ModuleScript.cpp
1,86,1.16%,Userland/Libraries/LibWeb/HTML/Canvas/CanvasPath.cpp
2,54,3.70%,Userland/Libraries/LibWeb/HTML/Canvas/CanvasFillStrokeStyles.h
1,2272,0.04%,Userland/Libraries/LibWeb/HTML/Parser/Entities.cpp
6,227,2.64%,Userland/Libraries/LibWeb/HTML/Parser/HTMLEncodingDetection.cpp
71,2867,2.48%,Userland/Libraries/LibWeb/HTML/Parser/HTMLParser.cpp
1,75,1.33%,Userland/Libraries/LibWeb/HTML/Parser/ListOfActiveFormattingElements.cpp
7,2636,0.27%,Userland/Libraries/LibWeb/HTML/Parser/HTMLTokenizer.cpp
3,25,12.00%,Userland/Libraries/LibWeb/HTML/CrossOrigin/Reporting.cpp
1,158,0.63%,Userland/Libraries/LibWeb/HTML/CrossOrigin/AbstractOperations.cpp
1,17,5.88%,Userland/Libraries/LibWeb/HTML/NavigatorLanguage.h
5,277,1.81%,Userland/Libraries/LibWeb/HTML/HTMLHyperlinkElementUtils.cpp
3,134,2.24%,Userland/Libraries/LibWeb/HTML/WindowProxy.cpp
40,1289,3.10%,Userland/Libraries/LibWeb/HTML/Window.cpp
1,138,0.72%,Userland/Libraries/LibWeb/HTML/HTMLImageElement.cpp
2,25,8.00%,Userland/Libraries/LibWeb/HTML/SessionHistoryEntry.h
3,29,10.34%,Userland/Libraries/LibWeb/HTML/Navigator.h
1,265,0.38%,Userland/Libraries/LibWeb/HTML/HTMLTableElement.cpp
10,134,7.46%,Userland/Libraries/LibWeb/HTML/BrowsingContextContainer.cpp
1,55,1.82%,Userland/Libraries/LibWeb/HTML/WorkerGlobalScope.h
3,57,5.26%,Userland/Libraries/LibWeb/HTML/EventNames.h
8,79,10.13%,Userland/Libraries/LibWeb/HTML/MessagePort.cpp
2,64,3.12%,Userland/Libraries/LibWeb/HTML/HTMLBaseElement.cpp
1,74,1.35%,Userland/Libraries/LibWeb/HTML/WorkerLocation.cpp
2,32,6.25%,Userland/Libraries/LibWeb/HTML/NavigationParams.h
2,36,5.56%,Userland/Libraries/LibWeb/HTML/ErrorEvent.h
1,120,0.83%,Userland/Libraries/LibWeb/HTML/DOMStringMap.cpp
4,70,5.71%,Userland/Libraries/LibWeb/HTML/History.cpp
1,166,0.60%,Userland/Libraries/LibWeb/HTML/HTMLLinkElement.cpp
12,190,6.32%,Userland/Libraries/LibWeb/HTML/HTMLObjectElement.cpp
2,44,4.55%,Userland/Libraries/LibWeb/HTML/HTMLAnchorElement.cpp
3,164,1.83%,Userland/Libraries/LibWeb/HTML/HTMLCanvasElement.cpp
1,42,2.38%,Userland/Libraries/LibWeb/HTML/HTMLTemplateElement.cpp
3,91,3.30%,Userland/Libraries/LibWeb/HTML/Storage.cpp
3,43,6.98%,Userland/Libraries/LibWeb/HTML/DOMParser.cpp
19,328,5.79%,Userland/Libraries/LibWeb/HTML/CanvasRenderingContext2D.cpp
27,302,8.94%,Userland/Libraries/LibWeb/HTML/HTMLScriptElement.cpp
1,12,8.33%,Userland/Libraries/LibWeb/HTML/NavigatorOnLine.h
1,156,0.64%,Userland/Libraries/LibWeb/HTML/HTMLFormElement.cpp
1,24,4.17%,Userland/Libraries/LibWeb/HTML/NavigatorID.cpp
10,217,4.61%,Userland/Libraries/LibWeb/HTML/HTMLElement.cpp
11,561,1.96%,Userland/Libraries/LibWeb/HTML/HTMLInputElement.cpp
9,95,9.47%,Userland/Libraries/LibWeb/HTML/WorkerGlobalScope.cpp
14,105,13.33%,Userland/Libraries/LibWeb/HTML/HTMLIFrameElement.cpp
17,143,11.89%,Userland/Libraries/LibWeb/HTML/Focus.cpp
28,141,19.86%,Userland/Libraries/LibWeb/HTML/Worker.cpp
1,20,5.00%,Userland/Libraries/LibWeb/HTML/StructuredSerialize.h
1,54,1.85%,Userland/Libraries/LibWeb/HTML/CanvasGradient.cpp
5,108,4.63%,Userland/Libraries/LibWeb/HTML/StructuredSerialize.cpp
64,857,7.47%,Userland/Libraries/LibWeb/HTML/BrowsingContext.cpp
2,64,3.12%,Userland/Libraries/LibWeb/HTML/HTMLButtonElement.cpp
2,12,16.67%,Userland/Libraries/LibWeb/HTML/PolicyContainers.h
1,22,4.55%,Userland/Libraries/LibWeb/HTML/EventHandler.h
9,99,9.09%,Userland/Libraries/LibWeb/HTML/HTMLStyleElement.cpp
3,78,3.85%,Userland/Libraries/LibWeb/HTML/Origin.h
4,79,5.06%,Userland/Libraries/LibWeb/HTML/FormAssociatedElement.cpp
2,97,2.06%,Userland/Libraries/LibWeb/HTML/HTMLOptionElement.cpp
1,30,3.33%,Userland/Libraries/LibWeb/HTML/HTMLMediaElement.cpp
7,166,4.22%,Userland/Libraries/LibWeb/FileAPI/Blob.cpp
1,28,3.57%,Userland/Libraries/LibWeb/UIEvents/EventNames.h
1,54,1.85%,Userland/Libraries/LibWeb/UIEvents/MouseEvent.h
2,115,1.74%,Userland/Libraries/LibWeb/UIEvents/KeyboardEvent.cpp
3,86,3.49%,Userland/Libraries/LibWeb/XHR/XMLHttpRequest.h
1,29,3.45%,Userland/Libraries/LibWeb/XHR/ProgressEvent.h
20,443,4.51%,Userland/Libraries/LibWeb/XHR/XMLHttpRequest.cpp
1,259,0.39%,Userland/Libraries/LibWeb/Cookie/ParsedCookie.cpp
1,75,1.33%,Userland/Libraries/LibWeb/Painting/MarkerPaintable.cpp
4,90,4.44%,Userland/Libraries/LibWeb/Painting/FilterPainting.cpp
4,257,1.56%,Userland/Libraries/LibWeb/Painting/GradientPainting.cpp
2,66,3.03%,Userland/Libraries/LibWeb/Painting/Paintable.cpp
